condition,time_near_days,period_near_s,time_far_days,period_far_s
Ground,7.4989407,431.48941,10.499746,433.19044
Ground,13.500955,431.48898,16.499952,433.18997
Ground,19.500475,431.4885,22.50054,433.18942
Ground,25.500808,431.48798,28.502912,433.18895
Ground,31.500411,431.48754,34.506158,433.18861
Ground,37.496065,431.48721,40.499342,433.18826
Ground,43.498436,431.48694,46.497191,433.18798
Ground,49.500468,431.48658,52.504199,433.18771
Ground,55.499409,431.48641,58.503031,433.18747
Ground,61.503058,431.48618,64.498222,433.18733
Ground,--,--,--,--
0.1V,70.5009874,431.48307,73.4984991,433.18421
Ground,76.506506,431.48295,79.502756,433.184
Ground,82.555592,431.48277,85.500793,433.18388
Ground,88.502513,431.48273,91.497381,433.18383
-0.1 V,99.078452,431.48802,102.102652,433.1891
Ground,105.044446,431.48787,107.994663,433.18915
Ground,111.00247,431.48797,114.005392,433.18921
Ground,117.0022,431.48804,120.001394,433.18925
Ground,122.996877,431.48808,126.012296,433.18935
Ground,--,--,--,--
Ground,131.9967477,431.48528,134.9984693,433.18647
Ground,138.002638,431.48534,141.007003,433.18654
Ground,144.001962,431.48537,146.998899,433.18667
Ground,150.785458,431.4855,153.003492,433.18671
Ground,155.997887,431.48555,159.008198,433.18678
