run_index,G_value_1e11,G_sigma_1e11,config,is_average,method,source
1,6.674534,0.000104,AAF-I,False,angular_acceleration_feedback,MOESM3_sheet_f
2,6.674585,9.9e-05,AAF-I,False,angular_acceleration_feedback,MOESM3_sheet_f
3,6.674473,0.000107,AAF-I,False,angular_acceleration_feedback,MOESM3_sheet_f
4,6.674543,9.5e-05,AAF-I,False,angular_acceleration_feedback,MOESM3_sheet_f
7,6.674431,8.5e-05,AAF-II,False,angular_acceleration_feedback,MOESM3_sheet_f
8,6.674399,8.5e-05,AAF-II,False,angular_acceleration_feedback,MOESM3_sheet_f
9,6.674416,8.6e-05,AAF-II,False,angular_acceleration_feedback,MOESM3_sheet_f
10,6.674424,9e-05,AAF-II,False,angular_acceleration_feedback,MOESM3_sheet_f
11,6.674302,8.6e-05,AAF-II,False,angular_acceleration_feedback,MOESM3_sheet_f
12,6.674304,8.3e-05,AAF-II,False,angular_acceleration_feedback,MOESM3_sheet_f
13,6.674327,8.5e-05,AAF-II,False,angular_acceleration_feedback,MOESM3_sheet_f
14,6.674338,8.7e-05,AAF-II,False,angular_acceleration_feedback,MOESM3_sheet_f
15,6.674362,8.5e-05,AAF-II,False,angular_acceleration_feedback,MOESM3_sheet_f
16,6.674447,8.6e-05,AAF-II,False,angular_acceleration_feedback,MOESM3_sheet_f
19,6.674519,7.8e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
20,6.674468,7.9e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
21,6.674534,8e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
22,6.674516,8e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
23,6.674495,8e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
24,6.67456,8.4e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
25,6.674539,8.4e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
26,6.674555,8.1e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
27,6.67452,8.1e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
28,6.674551,7.9e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
29,6.674607,7.9e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
30,6.67458,8.4e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
31,6.674497,8e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
32,6.674538,8e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
33,6.674543,8.2e-05,AAF-III,False,angular_acceleration_feedback,MOESM3_sheet_f
37,6.674484,7.8e-05,weighted_average,True,angular_acceleration_feedback,MOESM3_sheet_f
