experiment_id,G_value_1e11,G_sigma_1e11,Number
NIST-82,6.67248,0.00043,-1
TR&D-96,6.6729,0.0005,-2
LANL-97,6.67398,0.0007,-3
UWash-00,6.674255,9.2e-05,-4
BIPM-01,6.67559,0.00027,-5
UWup-02,6.67422,0.00098,-6
MSL-03,6.67387,0.00027,-7
HUST-05,6.67222,0.00087,-8
UZur-06,6.67425,0.00012,-9
HUST-09,6.67349,0.00018,-10
JILA-10,6.67234,0.00014,-11
BIPM-14,6.67554,0.00016,-12
LENS-14,6.67191,0.00099,-13
UCI-14,6.67435,0.00013,-14
CODATA-2014,6.67408,0.00031,-15
Our current value with ToS method,6.674184,7.8e-05,-16
Our current value with AAF method,6.674484,7.8e-05,-17
