time_days,period_near_s,period_far_s,series
1.4962403,431.48876,,series_a
7.4982279,431.48824,,series_a
13.494995,431.48786,,series_a
19.497922,431.48743,,series_a
25.496455,431.48694,,series_a
31.505269,431.4866,,series_a
37.499222,431.48637,,series_a
43.526933,431.48596,,series_a
49.494984,431.48569,,series_a
55.493266,431.48542,,series_a
4.4964407,,433.1897,series_a
10.539449,,433.1893,series_a
16.498627,,433.18886,series_a
22.495088,,433.18836,series_a
28.498168,,433.188,series_a
34.498999,,433.18774,series_a
40.522373,,433.1874,series_a
46.50435,,433.18703,series_a
52.4962,,433.18666,series_a
58.493183,,433.18646,series_a
1.4943091,432.78171,,series_b
7.4926322,432.78083,,series_b
13.933902,432.77994,,series_b
19.699009,432.77931,,series_b
25.496901,432.7786,,series_b
31.495019,432.77817,,series_b
37.498705,432.77764,,series_b
43.496868,432.77715,,series_b
49.500271,432.77686,,series_b
55.47838,432.77663,,series_b
4.4946665,,432.78079,series_b
10.495516,,432.77988,series_b
16.495647,,432.7791,series_b
22.496557,,432.77842,series_b
28.497569,,432.77794,series_b
34.500674,,432.77739,series_b
40.498514,,432.77686,series_b
46.499046,,432.77654,series_b
52.494783,,432.7762,series_b
58.503525,,432.77587,series_b
